trace_id,gt_step,gemini,qwen,gpt-oss,ensemble,all_agree
0,1,1,0,0,0,0
1,3,3,0,0,0,0
2,0,0,0,0,0,1
3,1,1,1,1,1,1
4,0,1,0,1,1,0
5,5,1,1,0,1,0
6,2,1,1,0,0,0
7,0,0,0,0,0,1
8,1,0,1,-1,1,0
9,1,2,1,0,1,0
10,0,1,0,1,0,0
11,8,3,1,3,1,0
12,3,3,3,0,3,0
13,4,1,1,2,2,0
14,1,0,1,0,0,0
15,5,1,1,0,0,0
16,8,1,0,1,1,0
17,5,2,0,0,0,0
18,3,1,1,0,1,0
19,5,1,1,4,1,0
20,4,0,0,0,0,1
21,1,3,1,0,0,0
22,3,4,1,1,1,0
23,1,1,3,1,1,0
24,3,2,1,2,2,0
25,2,1,1,1,1,1
26,5,5,0,0,0,0
27,0,2,0,1,2,0
28,1,1,1,0,1,0
29,1,1,1,2,1,0
30,1,1,1,2,2,0
31,5,0,1,3,0,0
32,1,0,0,0,0,1
33,0,0,2,4,4,0
34,0,0,-1,0,-1,0
35,5,2,2,0,2,0
36,7,5,1,5,5,0
37,7,3,1,0,3,0
38,6,2,1,1,1,0
39,3,3,0,3,0,0
40,1,1,1,0,1,0
41,0,1,0,1,1,0
42,4,1,2,1,1,0
43,3,2,1,0,2,0
44,3,1,1,0,0,0
45,8,0,1,0,1,0
46,1,1,1,0,1,0
47,0,0,2,0,0,0
48,1,3,0,0,0,0
49,0,0,0,0,0,1
50,4,0,0,0,0,1
51,0,0,0,1,0,0
52,6,3,0,0,0,0
53,4,2,4,0,2,0
54,8,7,1,4,7,0
55,8,4,1,5,5,0
56,3,-1,1,0,1,0
57,6,7,1,0,0,0
58,1,1,1,2,2,0
59,1,2,1,0,0,0
60,2,2,2,0,2,0
61,0,6,0,1,1,0
62,5,7,2,1,2,0
63,8,2,0,1,0,0
64,1,0,0,0,0,1
65,1,1,1,0,1,0
66,1,1,0,1,1,0
67,1,2,1,0,1,0
68,1,5,1,2,2,0
69,1,1,4,1,1,0
70,0,0,0,0,0,1
71,6,3,3,0,3,0
72,2,2,1,0,0,0
73,8,0,0,0,0,1
74,6,0,0,0,0,1
75,5,1,1,0,1,0
76,0,0,1,1,0,0
77,4,2,1,1,2,0
78,8,2,2,2,2,1
79,1,5,1,2,2,0
80,8,3,3,1,3,0
81,1,8,3,0,8,0
82,4,4,1,0,4,0
83,0,4,0,5,0,0
84,3,2,4,1,1,0
85,5,4,2,2,2,0
86,8,1,0,1,1,0
87,3,0,1,0,1,0
88,1,1,1,1,1,1
89,4,2,1,2,2,0
90,4,3,1,3,1,0
91,5,5,0,0,0,0
92,4,1,1,0,1,0
93,1,1,1,0,0,0
94,0,0,-1,4,-1,0
95,1,1,0,0,0,0
96,2,2,1,0,2,0
97,7,3,6,0,0,0
98,0,1,0,0,0,0
99,2,3,2,0,0,0
100,2,2,2,0,2,0
101,0,0,1,0,1,0
102,1,3,3,1,3,0
103,1,1,1,0,0,0
104,1,4,1,2,1,0
105,5,6,0,5,0,0
106,2,9,0,1,1,0
107,0,0,0,0,0,1
108,1,1,-1,0,1,0
109,6,4,1,4,1,0
110,5,5,1,0,5,0
111,9,2,1,2,2,0
112,8,0,0,0,0,1
113,2,3,2,0,3,0
114,5,4,2,0,4,0
115,3,1,1,0,0,0
116,1,0,0,0,0,1
117,7,3,1,0,0,0
118,0,0,-1,0,-1,0
119,1,1,-1,1,-1,0
120,2,2,1,0,2,0
121,3,5,2,0,5,0
122,4,8,6,0,0,0
123,2,3,1,3,3,0
124,1,1,1,2,1,0
125,8,3,0,0,3,0
