trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,blame_set_size,theta_bar_max,step_hit,agent_hit,joint_hit,omd_converged,init_V_final,final_V_final,theta_drift_linf,init_argmax,final_argmax,omd_changed_pred
0,7,3,1,Verification_Expert,0,ProblemSolving_Expert,3,0.9,0,0,0,1,2.7598749999999996,2.7598749999999996,0.0,0,0,0
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,2,0.9,1,1,1,0,2.71450625,2.3620681249999995,0.05212586504825403,3,3,0
2,10,3,0,WebServing_Expert,0,WebServing_Expert,2,0.9,1,1,1,1,2.7145062499999995,2.6670062499999996,0.14999900000000002,0,0,0
3,7,3,1,Probability_Expert,1,Probability_Expert,2,0.9,1,1,1,1,2.8173749999999997,2.8135894914934307,0.003785508506569002,1,1,0
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,1,0.9,0,0,0,0,2.78165375,2.7814726966582377,0.01899998921253379,6,6,0
5,10,3,5,PythonProgramming_Expert,1,PythonProgramming_Expert,4,0.9,0,1,0,0,2.70653725,2.687370201930798,0.03834015292549536,1,1,0
6,9,3,2,ProblemSolving_Expert,2,Verification_Expert,3,0.9,1,0,0,1,2.5811559374999997,2.5811559374999997,0.0,2,2,0
7,8,3,0,Geometry_Expert,0,VerificationExpert,5,0.9,1,0,0,0,2.8025,2.61725,0.05212586504825403,0,0,0
8,6,3,1,Tizin_Translation_Expert,0,TizinGrammar_Expert,5,0.9,0,0,0,0,2.82308,2.5474627879544585,0.10381873091585181,0,0,0
9,10,3,1,Narration_Expert,0,Verification_Expert,5,0.9,0,0,0,1,2.7598749999999996,2.7598749999999996,0.0,0,0,0
10,5,3,0,TextExtraction_Expert,2,Verification_Expert,2,0.9,0,0,0,0,2.8025,2.61725,0.09713033275949312,2,2,0
11,10,3,8,AnimalBehavior_Expert,4,BirdSpeciesIdentification_Expert,2,0.9368030381468411,0,0,0,1,2.6508876,2.6262809375,0.03680303814684105,4,4,0
12,10,3,3,Paintball_Expert,5,Geospatial_Expert,1,0.9,0,0,0,1,2.7645062499999997,2.7645062499999997,0.0,5,5,0
13,7,3,4,Marathon_Expert,1,CelestialPhysics_Expert,4,0.9,0,0,0,0,2.662375,2.4049368749999998,0.09093099037889785,1,1,0
14,8,3,1,Literary_Analysis_Expert,0,NorseMythology_Expert,2,0.9,0,0,0,1,2.91,2.908658076700754,0.0013419232992457758,0,0,0
15,10,3,5,ScientificPaperAnalysis_Expert,1,ScientificPaperAnalysis_Expert,4,0.9383401529254997,0,1,0,0,2.70653725,2.6718812499999998,0.03834015292549964,1,1,0
16,10,3,8,DataAnalysis_Expert,8,DataAnalysis_Expert,3,0.936191182681549,1,1,1,1,2.5499460624999997,2.5336559375,0.03619118268154897,0,8,1
17,10,3,5,AcademicPublication_Expert,5,AcademicPublication_Expert,3,0.9,1,1,1,1,2.4675737593749996,2.4520981406249995,0.03471584032306252,5,5,0
18,10,3,3,BingAPI_Expert,1,BingAPI_Expert,3,0.9,0,1,0,0,2.5901749999999995,2.5871616067281464,0.04847627398196015,1,1,0
19,10,3,5,Validation_Expert,0,AlgorithmDesign_Expert,3,0.9,0,0,0,1,2.66700625,2.66700625,0.0,0,0,0
20,10,3,4,Statistics_Expert,0,Statistics_Expert,4,0.9,0,1,0,1,2.6218812499999995,2.6218812499999995,0.0,0,0,0
21,10,3,1,Statistics_Expert,3,Verification_Expert,1,0.9,0,0,0,0,2.755,2.6647499999999997,0.09093099037889785,3,3,0
22,9,3,3,Verification_Expert,1,Computer_terminal,6,0.9,0,0,0,0,2.755,2.6647499999999997,0.05028602770193341,1,1,0
23,6,3,1,Cubing_Expert,1,Cubing_Expert,2,0.9,1,1,1,1,2.8049999999999997,2.8049999999999997,0.0,1,1,0
24,10,3,3,DataAnalysis_Expert,5,Verification_Expert,2,0.9,0,0,0,0,2.6900710624999995,2.3463059213803206,0.09713033275949312,5,5,0
25,7,3,2,Verification_Expert,1,AnalyticalReasoning_Expert,2,0.9,0,0,0,1,2.7598749999999996,2.7598749999999996,0.0,1,1,0
26,10,3,5,Validation_Expert,0,Computer_terminal,3,0.9,0,0,0,0,2.71450625,2.3620681249999995,0.05212586504825403,0,0,0
27,6,3,0,Lyrics_Expert,1,MusicHistorian_Expert,3,0.9,0,0,0,0,2.755,2.6647499999999997,0.05028602770193341,1,1,0
28,10,3,1,Filmography_Expert,1,IMDB_Ratings_Expert,5,0.9,1,0,0,1,2.709875,2.709875,0.0,1,1,0
29,7,3,1,Verification_Expert,1,Verification_Expert,3,0.9377105691349414,1,1,1,0,2.6280799999999997,2.6195062499999997,0.049459410482167065,1,1,0
30,6,3,1,Mesopotamian_Number_Systems_Expert,1,Mesopotamian_Number_Systems_Expert,4,0.9,1,1,1,1,2.7573749999999997,2.7573749999999997,0.899999,1,1,0
31,10,3,5,Validation_Expert,0,Validation_Expert,4,0.9,0,1,0,0,2.8573749999999998,2.5721249999999998,0.10381873091547889,0,0,0
32,10,3,1,Verification_Expert,0,Geography_Expert,4,0.9,0,0,0,1,2.7147499999999996,2.7147499999999996,0.0,0,0,0
33,6,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,2,0.9,1,1,1,1,2.66700625,2.66700625,0.0,0,0,0
34,10,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,4,0.9,1,1,1,0,2.7573749999999997,2.4863874999999998,0.09713033275949312,0,0,0
35,10,3,5,MartialArts_Expert,2,NYC_Local_Expert,5,0.9,0,0,0,1,2.6718812499999998,2.6718812499999998,0.0,2,2,0
36,9,3,7,Chess_Expert,7,Chess_Expert,1,0.9,1,1,1,0,2.7573749999999997,2.4863874999999998,0.05212586504825403,7,7,0
37,9,3,7,Reviews_Expert,7,Reviews_Expert,2,0.9,1,1,1,0,2.6508876,2.64353803918989,0.03680303814683694,3,7,1
38,8,3,6,Verification_Expert,3,Fitness_Expert,3,0.9,0,0,0,1,2.7598749999999996,2.7598749999999996,0.0,3,3,0
39,9,3,3,WomenInComputerScienceHistory_Expert,0,WomenInComputerScienceHistory_Expert,4,0.9,0,1,0,1,2.807375,2.807375,0.0,0,0,0
40,10,3,1,DataExtraction_Expert,1,DataExtraction_Expert,3,0.9,1,1,1,0,2.7145062499999995,2.4435187499999995,0.09713033275949312,1,1,0
41,10,3,0,FinancialData_Expert,8,FinancialData_Expert,2,0.9377105691349803,0,1,0,1,2.7316537499999995,2.71450625,0.037710569134980276,4,8,1
42,10,3,4,Verification_Expert,1,Verification_Expert,4,0.9,0,1,0,1,2.807375,2.807375,0.0,1,1,0
43,7,3,3,Culinary_Expert,0,AudioProcessing_Expert,4,0.9,0,0,0,1,2.8073749999999995,2.8073749999999995,0.0,0,0,0
44,10,3,3,Verification_Expert,0,OpenCV_Expert,3,0.9,0,0,0,1,2.66700625,2.66700625,0.0,0,0,0
45,10,3,8,Validation_Expert,0,Validation_Expert,5,0.9,0,1,0,0,2.5294425093749995,2.4973899412904923,0.06205841358420794,0,0,0
46,6,3,1,BiblicalScholar_Expert,1,MiddleEasternHistory_Expert,3,0.9,1,0,0,1,2.7598749999999996,2.7598749999999996,0.0,1,1,0
47,6,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,3,0.9,1,1,1,1,2.8049999999999997,2.8049999999999997,0.0,0,0,0
48,10,3,1,DataVerification_Expert,0,MarioKart8Deluxe_Expert,4,0.9,0,0,0,0,2.755,2.6647499999999997,0.05028602770193341,0,0,0
49,10,3,0,PythonDebugging_Expert,0,,0,0.1,1,0,0,0,2.7350918906249997,2.2052756718749995,0.05399258389951349,0,0,0
50,10,3,4,HistoricalWeatherData_Expert,6,Statistics_Expert,3,0.8712688613250481,0,0,0,1,2.6350918906249996,2.6350918906249996,0.899999,6,6,0
51,6,3,0,Excel_Expert,1,Computer_terminal,2,0.9,0,0,0,1,2.8073749999999995,2.8073749999999995,0.0,1,1,0
52,9,3,6,BenAndJerrysFlavors_Expert,0,WebServing_Expert,3,0.9,0,0,0,0,2.8025,2.61725,0.09713033275949312,0,0,0
53,6,3,4,FilmCritic_Expert,1,JamesBondFilms_Expert,3,0.9,0,0,0,0,2.8499999999999996,2.5721249999999998,0.09713033275949312,1,1,0
54,10,3,8,Research_Expert,4,Research_Expert,3,0.9,0,1,0,1,2.5811559374999997,2.5811559374999997,0.0,4,4,0
55,10,3,8,Corporate_Governance_Expert,0,Corporate_Governance_Expert,4,0.9,0,1,0,0,2.8499999999999996,2.5721249999999998,0.09713033275949312,0,0,0
56,10,3,3,DataAnalysis_Expert,9,Financial_Expert,1,0.9,0,0,0,1,2.8525,2.8525,0.0,9,9,0
57,10,3,6,InformationVerification_Expert,5,Computer_terminal,3,0.9,0,0,0,0,2.6425710625,2.6424158655488337,0.01798008950367759,5,5,0
58,7,3,1,Behavioral_Expert,1,Behavioral_Expert,3,0.9,1,1,1,0,2.95,2.8499999999999996,0.05399258389959482,1,1,0
59,10,3,1,VideoContentAnalysis_Expert,0,VideoContentAnalysis_Expert,1,0.9,0,1,0,0,2.5974460624999995,2.596115126654089,0.01798008950375278,0,0,0
60,7,3,2,Verification_Expert,3,Computer_terminal,1,0.9,0,0,0,0,2.8499999999999996,2.5721249999999998,0.05212586504825403,3,3,0
61,7,3,0,Library_Database_Expert,3,Computer_terminal,2,0.9,0,0,0,0,2.78165375,2.7814726966582337,0.018999989212560256,3,3,0
62,10,3,5,Federico_Lauria_Expert,3,Federico_Lauria_Expert,5,0.9,0,1,0,1,2.5475618749999995,2.5475618749999995,0.0,3,3,0
63,10,3,8,DataVerification_Expert,2,WebServing_Expert,2,0.9,0,0,0,0,2.7904079999999998,2.7910817315030276,0.016302610198156486,2,2,0
64,5,3,1,Verification_Expert,1,Verification_Expert,3,0.9,1,1,1,1,2.812,2.709875,0.899999,0,1,1
65,5,3,1,Verification_Expert,1,Verification_Expert,3,0.9,1,1,1,0,2.95,2.8499999999999996,0.05399258389959482,1,1,0
66,5,3,1,PublicationData_Expert,0,DataAnalysis_Expert,3,0.9,0,0,0,1,2.76450625,2.76450625,0.0,0,0,0
67,10,3,1,SpeciesSightingsData_Expert,1,SpeciesSightingsData_Expert,2,0.9,1,1,1,0,2.6108053187499998,2.5579274767840476,0.03471584032298121,1,1,0
68,6,3,1,VideoContentAnalysis_Expert,0,,0,0.1,0,0,0,1,2.71700625,2.71700625,0.0,0,0,0
69,7,3,1,VideoAnalysis_Expert,1,Validation_Expert,5,0.9,1,0,0,0,2.8025,2.61725,0.09713033275949312,1,1,0
70,10,3,0,PythonDebugging_Expert,2,PythonDebugging_Expert,2,0.9,0,1,0,1,2.6670062499999996,2.6670062499999996,0.0,2,2,0
71,8,3,6,Verification_Expert,1,Bioinformatics_Expert,4,0.9,0,0,0,1,2.5743812499999996,2.5743812499999996,0.899999,1,1,0
72,10,3,2,Validation_Expert,8,DataExtraction_Expert,2,0.9,0,0,0,0,2.6900710624999995,2.3463059213802593,0.05212586504825403,8,8,0
73,10,3,8,Verification_Expert,0,DataAnalysis_Expert,3,0.9,0,0,0,0,2.8499999999999996,2.5721249999999998,0.09713033275949312,0,0,0
74,10,3,6,Geometry_Expert,0,Geometry_Expert,4,0.9,0,1,0,1,2.8525,2.8525,0.0,0,0,0
75,9,3,5,Verification_Expert,3,DataCollection_Expert,2,0.9,0,0,0,0,2.6925710625,2.690280452808108,0.025292791512711715,3,3,0
76,6,3,0,DataAnalysis_Expert,0,DataAnalysis_Expert,3,0.9,1,1,1,0,2.9025,2.7075,0.10381873091547889,0,0,0
77,10,3,4,ModelEvaluation_Interpretation_Expert,6,ModelEvaluation_Interpretation_Expert,5,0.9,0,1,0,1,2.4456621874999995,2.4456621874999995,0.0,6,6,0
78,10,3,8,API_Expert,2,API_Expert,3,0.9,0,1,0,0,2.825425,2.709875,0.055864327746457554,2,2,0
79,10,3,1,MilitaryHistory_Expert,0,Whitney_Collection_Expert,5,0.9,0,0,0,1,2.4619523124999994,2.4435187499999995,0.06587862552240598,0,0,0
80,10,3,8,InformationExtraction_Expert,8,,0,0.13075977028861177,1,0,0,0,2.607065561894609,2.590344428828691,0.037211986006290415,0,8,1
81,10,3,1,WebDevelopment_Expert,0,Web_Design_Expert,2,0.872858695191584,0,0,0,0,2.662375,2.662375,0.899999,0,0,0
82,10,3,4,ArtHistory_Expert,8,Computer_terminal,3,0.9344409434166581,0,0,0,0,2.4955109808,2.4582122960937496,0.04656928049385467,4,8,1
83,10,3,0,ISBNCheckDigit_Expert,0,ISBNCheckDigit_Expert,1,0.9,1,1,1,0,2.7573749999999997,2.5721249999999998,0.05212586504825403,0,0,0
84,10,3,3,WebServing_Expert,3,Validation_Expert,4,0.9,1,0,0,1,2.6737809374999997,2.6737809374999997,0.899999,3,3,0
85,8,3,5,CorporateHistory_IPOs_MondayCom_Expert,5,CorporateHistory_IPOs_MondayCom_Expert,1,0.9,1,1,1,0,2.8024999999999998,2.61725,0.05212586504825403,5,5,0
86,10,3,8,Blu-Ray_Expert,6,,0,0.1112352097442509,0,0,0,0,2.83165375,2.5560365379544767,0.0539925838996239,0,6,1
87,7,3,3,Verification_Expert,0,WebServing_Expert,4,0.9,0,0,0,0,2.7400710624999998,2.739097683425843,0.025292791512711715,0,0,0
88,9,3,1,Music_Critic_Expert,2,DataVerification_Expert,3,0.9,0,0,0,1,2.6262809375,2.6262809375,0.0,2,2,0
89,8,3,4,Verification_Expert,5,Computer_terminal,2,0.9,0,0,0,0,2.6926567999999995,2.6900499066723267,0.02185744840974911,4,5,1
90,8,3,4,Locomotive_Expert,2,Locomotive_Expert,2,0.9,0,1,0,0,2.755,2.6647499999999997,0.09093099037889785,2,2,0
91,10,3,5,MusicTheory_Expert,5,Verification_Expert,4,0.9,1,0,0,0,2.6925710625,2.690280452808108,0.025292791512711715,5,5,0
92,10,3,4,AlgorithmDesign_Expert,4,Computer_terminal,4,0.9,1,0,0,1,2.8525,2.8525,0.0,4,4,0
93,7,3,1,Data_Collection_Expert,0,Data_Collection_Expert,4,0.9,0,1,0,1,2.73415375,2.709875,0.06996169873935298,0,0,0
94,6,3,0,PythonDebugging_Expert,0,PythonDebugging_Expert,2,0.9,1,1,1,1,2.8525,2.8525,0.0,0,0,0
95,10,3,1,DataExtraction_Expert,6,,0,0.21999999999999997,0,0,0,0,2.6737809374999997,2.2439647187499996,0.05212586504825403,6,6,0
96,8,3,2,Tickets_Pricing_Expert,7,Verification_Expert,3,0.9361911826815091,0,0,0,1,2.681926,2.6737809374999997,0.036191182681509115,3,7,1
97,10,3,7,Poetry_Expert,3,Poetry_Expert,3,0.9,0,1,0,1,2.66700625,2.66700625,0.0,3,3,0
98,7,3,0,JSON_Expert,0,,0,0.1,1,0,0,1,2.76450625,2.76450625,0.0,0,0,0
99,6,3,2,Polish_TV_Series_Expert,1,PolishLanguage_Expert,2,0.9,0,0,0,0,2.8025,2.61725,0.09713033275949312,1,1,0
100,8,3,2,HawaiiRealEstate_Expert,2,HawaiiRealEstate_Expert,2,0.9,1,1,1,0,2.7145062499999995,2.3620681249999995,0.05212586504825403,2,2,0
101,8,3,0,PythonDebugging_Expert,4,Verification_Expert,1,0.9,0,0,0,1,2.7598749999999996,2.7598749999999996,0.0,4,4,0
102,10,3,1,WaybackMachine_Expert,3,MenuAnalysis_Expert,3,0.9,0,0,0,0,2.7189,2.7186146316391415,0.006007754965443091,3,3,0
103,7,3,1,Debugging_Expert,6,Verification_Expert,1,0.9,0,0,0,0,2.767375,2.7608837290085937,0.0065685756733462886,6,6,0
104,10,3,1,Data_Retrieval_Expert,2,Computer_terminal,1,0.9,0,0,0,0,2.6592041374999997,2.6598048918899897,0.014303654216734588,2,2,0
105,10,3,5,WebServing_Expert,0,WebServing_Expert,3,0.9,0,1,0,1,2.75595,2.726256818176701,0.06985845404293711,0,0,0
106,10,3,2,Culinary_Awards_Expert,3,Ali_Khan_Shows_and_New_Mexican_Cuisine_Expert,3,0.9,0,0,0,1,2.6483372960937497,2.6483372960937497,0.0,3,3,0
107,9,3,0,DataAnalysis_Expert,0,DataAnalysis_Expert,3,0.9,1,1,1,1,2.728875,2.726525435342938,0.002473225954801997,0,0,0
108,6,3,1,Verification_Expert,2,Computer_terminal,1,0.9,0,0,0,1,2.8049999999999997,2.8049999999999997,0.0,2,2,0
109,10,3,6,Boggle_Board_Expert,4,Boggle_Board_Expert,2,0.9,0,1,0,1,2.8525,2.8525,0.0,4,4,0
110,10,3,5,Clinical_Trial_Data_Analysis_Expert,1,Clinical_Trial_Data_Analysis_Expert,4,0.9,0,1,0,1,2.76450625,2.76450625,0.0,1,1,0
111,10,3,9,Neurology_Expert,6,Computer_terminal,3,0.9,0,0,0,1,2.66700625,2.66700625,0.0,6,6,0
112,10,3,8,Vegan_Food_Expert,0,Food_Expert,2,0.9356141410378961,0,0,0,0,2.5739102704,2.5498863961854408,0.03561414103789606,0,0,0
113,10,3,2,WikipediaHistory_Expert,0,WikipediaHistory_Expert,4,0.9,0,1,0,0,2.5953296999999997,2.5944697417976936,0.023907613287072693,0,0,0
114,9,3,5,DataVerification_Expert,4,Fashion_Vogue_Expert,3,0.9,0,0,0,1,2.66700625,2.66700625,0.0,4,4,0
115,9,3,3,DataVerification_Expert,1,DataVerification_Expert,6,0.9,0,1,0,0,2.7075,2.3620681249999995,0.09093099037889785,1,1,0
116,10,3,1,GIS_DataAnalysis_Expert,0,AquaticEcosystems_InvasiveSpecies_Expert,5,0.9,0,0,0,1,2.66700625,2.66700625,0.0,0,0,0
117,10,3,7,DataAnalysis_Expert,7,DataAnalysis_Expert,2,0.9,1,1,1,1,2.807375,2.807375,0.0,7,7,0
118,10,3,0,Debugging_Problem_Solving_Expert,0,Debugging_Problem_Solving_Expert,3,0.9,1,1,1,0,2.6847499999999997,2.6745349520856903,0.01021504791430948,0,0,0
119,6,3,1,Verification_Expert,1,Verification_Expert,2,0.9,1,1,1,1,3.0,3.0,0.0,1,1,0
120,10,3,2,Movie_Expert,2,Movie_Expert,2,0.9,1,1,1,0,2.8024999999999998,2.61725,0.05212586504825403,2,2,0
121,10,3,3,Church_Historian_Expert,1,Art_Historian_Expert,3,0.9,0,0,0,1,2.62188125,2.62188125,0.0,1,1,0
122,10,3,4,MerriamWebsterWordOfTheDay_Historian_Expert,8,Verification_Expert,1,0.9,0,0,0,0,2.73415375,2.732668866149362,0.018999989212517276,8,8,0
123,7,3,2,Research_Expert,0,Literature_Expert,4,0.9,0,0,0,0,2.662375,2.4863874999999998,0.09093099037889785,0,0,0
124,5,3,1,GameTheory_Expert,1,VerificationExpert,3,0.9,1,0,0,1,2.7598749999999996,2.7598749999999996,0.0,1,1,0
125,10,3,8,WebServing_Expert,0,WebServing_Expert,7,0.9,0,1,0,1,2.6492059374999997,2.6262809375,0.07432828185262552,0,0,0
