trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,blame_set_size,theta_bar_max,step_hit,agent_hit,joint_hit,omd_converged,init_V_final,final_V_final,theta_drift_linf,init_argmax,final_argmax,omd_changed_pred
0,7,3,1,Verification_Expert,0,ProblemSolving_Expert,3,0.9,0,0,0,1,2.152,2.152,0.0,0,0,0
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,2,0.9,1,1,1,0,2.0096000000000003,2.0096000000000003,0.04608519722304336,3,3,0
2,10,3,0,WebServing_Expert,0,WebServing_Expert,2,0.9,1,1,1,0,2.0864000000000003,2.0130867436870417,0.1431899537362472,0,0,0
3,7,3,1,Probability_Expert,1,Probability_Expert,2,0.9,1,1,1,1,2.472,2.4595738608624313,0.012426139137568848,1,1,0
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,1,0.9,0,0,0,0,2.29664,2.274366676754554,0.04683611166238308,6,6,0
5,10,3,5,PythonProgramming_Expert,1,PythonProgramming_Expert,4,0.9,0,1,0,0,2.114176,2.043729837279461,0.06261045222435833,1,1,0
6,9,3,2,ProblemSolving_Expert,8,Verification_Expert,3,0.9312454227762405,0,0,0,1,1.7119744000000003,1.7021440000000003,0.031245422776240428,2,8,1
7,8,3,0,Geometry_Expert,2,VerificationExpert,5,0.9172330379143036,0,0,0,0,2.3200000000000003,2.302276956477483,0.0179986716771372,0,2,1
8,6,3,1,Tizin_Translation_Expert,0,TizinGrammar_Expert,5,0.9,0,0,0,0,2.49152,2.510422105415924,0.10381873091576288,0,0,0
9,10,3,1,Narration_Expert,0,Verification_Expert,5,0.9,0,0,0,1,2.152,2.152,0.0,0,0,0
10,5,3,0,TextExtraction_Expert,2,Verification_Expert,2,0.8219363083108617,0,0,0,0,2.24,2.24,0.07806369168913829,2,2,0
11,10,3,8,AnimalBehavior_Expert,4,BirdSpeciesIdentification_Expert,2,0.9528893919693991,0,0,0,0,1.9167744000000002,1.8661257155425803,0.052889391969399124,4,4,0
12,10,3,3,Paintball_Expert,5,Geospatial_Expert,1,0.9,0,0,0,1,2.2096,2.2096,0.0,5,5,0
13,7,3,4,Marathon_Expert,2,Computer_terminal,4,0.9,0,0,0,0,1.7920000000000003,1.7918963692945504,0.05941468966817509,1,2,1
14,8,3,1,Literary_Analysis_Expert,0,NorseMythology_Expert,2,0.9,0,0,0,1,2.76,2.754728106907291,0.005271893092708965,0,0,0
15,10,3,5,ScientificPaperAnalysis_Expert,1,ScientificPaperAnalysis_Expert,4,0.9610127612267108,0,1,0,0,2.114176,2.040804992161724,0.06101276122671073,1,1,0
16,10,3,8,DataAnalysis_Expert,6,Computer_terminal,3,0.9452409215777657,0,0,0,0,1.6296345600000004,1.5973298621937362,0.045240921577765714,0,6,1
