trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,blame_set_size,theta_bar_max,step_hit,agent_hit,joint_hit,omd_converged,init_V_final,final_V_final,theta_drift_linf,init_argmax,final_argmax,omd_changed_pred
0,7,3,1,Verification_Expert,3,ArithmeticProgressions_Expert,3,0.999996290685342,0,0,0,0,2.5790563305558463,2.528475142649498,0.053844652082585265,3,3,0
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,2,0.9610985030673096,1,1,1,0,2.4065640472458707,2.3564531993105646,0.027019868036475492,3,3,0
2,10,3,0,WebServing_Expert,0,WebServing_Expert,2,0.977084597617653,1,1,1,0,2.4753558215904494,2.398923622624679,0.03172704782645777,0,0,0
3,7,3,1,Probability_Expert,1,Probability_Expert,2,0.999999,1,1,1,1,2.6494043365967883,2.622587517967406,0.03255522883846226,1,1,0
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,2,0.9469004486541609,0,0,0,0,2.3991621713894933,2.352897039602221,0.9499989999999999,6,6,0
5,10,3,5,PythonProgramming_Expert,2,PythonProgramming_Expert,4,0.999997894495699,0,1,0,0,2.3047823442715742,2.287647010574412,0.9499989999999999,1,2,1
6,9,3,2,ProblemSolving_Expert,1,Computer_terminal,6,0.9999988265611868,0,0,0,0,2.3513610992537965,2.4130938753452704,0.9499989895015132,2,1,1
7,8,3,0,Geometry_Expert,4,VerificationExpert,5,0.9999989290188391,0,0,0,0,2.5510029648453303,2.5104302297288377,0.049999000000000016,4,4,0
8,6,3,1,Tizin_Translation_Expert,2,Verification_Expert,5,0.9999988956066876,0,0,0,1,2.74007287700625,2.740069891860666,7.896137428353711e-07,1,2,1
9,10,3,1,Narration_Expert,4,Verification_Expert,5,0.9813300413721426,0,0,0,0,2.446255208583339,2.3719264827329862,0.05021936878530553,0,4,1
10,5,3,0,TextExtraction_Expert,3,DataManipulation_Expert,2,0.999999,0,0,0,1,2.676190797031408,2.6761887079123987,0.01406035878409262,3,3,0
11,10,3,8,AnimalBehavior_Expert,8,BirdSpeciesIdentification_Expert,3,0.999998867240302,1,0,0,0,2.2595336156491848,2.27743577030683,0.9499989999999999,6,8,1
12,10,3,3,Paintball_Expert,6,Computer_terminal,2,0.999999,0,0,0,0,2.3591582031525795,2.4126666323600783,0.9499989999999999,5,6,1
13,7,3,4,Marathon_Expert,1,CelestialPhysics_Expert,4,0.9922863453600409,0,0,0,0,2.5334849216517723,2.4409479863453676,0.03571333185969916,1,1,0
14,8,3,1,Literary_Analysis_Expert,0,NorseMythology_Expert,2,0.9697699316049583,0,0,0,0,2.5674605913558004,2.5408023589323356,0.9499989999999999,0,0,0
