trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,step_hit,agent_hit,joint_hit,omd_converged,init_argmax,final_argmax
0,7,3,1,Verification_Expert,1,Verification_Expert,1,1,1,0,1,1
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,1,1,1,0,3,3
2,10,3,0,WebServing_Expert,0,WebServing_Expert,1,1,1,1,0,0
3,7,3,1,Probability_Expert,2,Computer_terminal,0,0,0,0,2,2
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,0,0,0,0,6,6
5,10,3,5,PythonProgramming_Expert,2,PythonProgramming_Expert,0,1,0,0,2,2
6,9,3,2,ProblemSolving_Expert,2,ProblemSolving_Expert,1,1,1,0,2,2
7,8,3,0,Geometry_Expert,4,VerificationExpert,0,0,0,0,0,4
8,6,3,1,Tizin_Translation_Expert,0,TizinGrammar_Expert,0,0,0,1,0,0
9,10,3,1,Narration_Expert,4,Verification_Expert,0,0,0,1,4,4
10,5,3,0,TextExtraction_Expert,3,DataManipulation_Expert,0,0,0,0,3,3
11,10,3,8,AnimalBehavior_Expert,6,BirdSpeciesIdentification_Expert,0,0,0,0,6,6
12,10,3,3,Paintball_Expert,5,Geospatial_Expert,0,0,0,0,5,5
13,7,3,4,Marathon_Expert,1,Verification_Expert,0,0,0,0,4,1
14,8,3,1,Literary_Analysis_Expert,0,NorseMythology_Expert,0,0,0,1,0,0
15,10,3,5,ScientificPaperAnalysis_Expert,4,ScientificPaperAnalysis_Expert,0,1,0,0,4,4
16,10,3,8,DataAnalysis_Expert,8,Computer_terminal,1,0,0,0,8,8
17,10,3,5,AcademicPublication_Expert,5,AcademicPublication_Expert,1,1,1,0,5,5
18,10,3,3,BingAPI_Expert,3,BingAPI_Expert,1,1,1,0,3,3
19,10,3,5,Validation_Expert,0,AlgorithmDesign_Expert,0,0,0,0,0,0
20,10,3,4,Statistics_Expert,0,Statistics_Expert,0,1,0,1,0,0
21,10,3,1,Statistics_Expert,3,Verification_Expert,0,0,0,0,3,3
22,9,3,3,Verification_Expert,6,Computer_terminal,0,0,0,0,1,6
23,6,3,1,Cubing_Expert,1,Cubing_Expert,1,1,1,0,1,1
24,10,3,3,DataAnalysis_Expert,5,Verification_Expert,0,0,0,0,5,5
25,7,3,2,Verification_Expert,1,AnalyticalReasoning_Expert,0,0,0,1,1,1
26,10,3,5,Validation_Expert,8,Computer_terminal,0,0,0,0,8,8
