trace_id,T,K,gt_step,gt_agent,pred_step,pred_agent,blame_set_size,theta_bar_max,step_hit,agent_hit,joint_hit,omd_converged,init_V_final,final_V_final,theta_drift_linf,init_argmax,final_argmax,omd_changed_pred
0,7,3,1,Verification_Expert,1,Verification_Expert,3,0.9,1,1,1,0,1.4665611736068964,1.5102136635390608,0.07821819648121675,1,1,0
1,10,3,3,DataVerification_Expert,3,DataVerification_Expert,2,0.9000000000000001,1,1,1,0,1.4256888917545492,1.31742853734021,0.040606908124524055,3,3,0
2,10,3,0,WebServing_Expert,0,WebServing_Expert,2,0.9,1,1,1,0,1.5288520812166175,1.4623734100598818,0.05435535158879523,0,0,0
3,7,3,1,Probability_Expert,2,Computer_terminal,2,0.9000000000000001,0,0,0,0,2.0729322405789485,2.095274741835646,0.04052035320801273,2,2,0
4,10,3,0,YouTubeDownload_Expert,6,ResultVerification_Expert,1,0.8999999999999999,0,0,0,0,1.7430065266446144,1.7101089048124474,0.045021674157811,6,6,0
5,10,3,5,PythonProgramming_Expert,2,PythonProgramming_Expert,4,0.9000000000000001,0,1,0,0,1.4697664197091642,1.5098547647954712,0.07703072459626437,2,2,0
6,9,3,2,ProblemSolving_Expert,2,ProblemSolving_Expert,2,0.8780698413068223,1,1,1,0,1.1906789757285483,1.0768172548833022,0.04275109147583385,6,2,1
7,8,3,0,Geometry_Expert,4,VerificationExpert,5,0.9,0,0,0,0,1.8983126338008594,1.8534840266101769,0.036980066167273784,0,4,1
8,6,3,1,Tizin_Translation_Expert,2,TizinGrammar_Expert,5,0.9000000000000001,0,0,0,0,2.073578687809529,2.096024113541871,0.04036872589534693,0,2,1
9,10,3,1,Narration_Expert,4,Verification_Expert,5,0.9,0,0,0,0,1.4665611736064874,1.5102154774872583,0.07821801641799253,4,4,0
10,5,3,0,TextExtraction_Expert,3,DataManipulation_Expert,2,0.6634056511183936,0,0,0,0,1.6074968606494755,1.5965333699861475,0.03518199718057699,3,3,0
11,10,3,8,AnimalBehavior_Expert,6,BirdSpeciesIdentification_Expert,1,0.9000000000000001,0,0,0,0,1.2373865151336978,1.3545040692281378,0.08057463858724778,6,6,0
12,10,3,3,Paintball_Expert,5,Geospatial_Expert,1,0.5089833963961288,0,0,0,0,1.7072010272946085,1.6322325377811318,0.04730781455099182,5,5,0
13,7,3,4,Marathon_Expert,6,Marathon_Expert,6,0.8952989395685164,0,1,0,0,1.0442041977100593,1.0168285881859638,0.030389253842977637,6,6,0
14,8,3,1,Literary_Analysis_Expert,5,Literary_Analysis_Expert,2,0.9000000000000001,0,1,0,0,2.5723835932565295,2.496994534251458,0.04324843617984908,0,5,1
15,10,3,5,ScientificPaperAnalysis_Expert,4,ScientificPaperAnalysis_Expert,4,0.9,0,1,0,0,1.4738082075644574,1.5096645430879074,0.07462919373066901,4,4,0
16,10,3,8,DataAnalysis_Expert,0,StatisticalAnalysis_Expert,1,0.8710933700508361,0,0,0,0,1.0411422576973741,1.0217229866738475,0.025386335132870072,0,0,0
17,10,3,5,AcademicPublication_Expert,5,AcademicPublication_Expert,1,0.8940291706630943,1,1,1,0,1.036912157856507,1.045857270149446,0.07363656246141681,5,5,0
18,10,3,3,BingAPI_Expert,3,BingAPI_Expert,5,0.89129173154333,1,1,1,0,1.0189605854043333,1.014168061367911,0.02227160677815765,3,3,0
19,10,3,5,Validation_Expert,0,RecyclingRate_Expert,4,0.8466497696385459,0,0,0,0,1.2144334254366678,1.108179155443402,0.05103172901258457,0,0,0
20,10,3,4,Statistics_Expert,4,Statistics_Expert,5,0.8999999999999999,1,1,1,0,1.0384676009056162,1.0449384271267084,0.07056834772135856,0,4,1
